#  q,  S(q) neutrons
  20.4832431685        1.0008769587
  20.5323383514        1.0011055961
  20.5814335344        1.0014368861
  20.6305287173        1.0019845894
  20.6796239003        1.0027812169
  20.7287190832        1.0037728364
  20.7778142662        1.0048351949
  20.8269094491        1.0058068904
  20.8760046321        1.0065313428
  20.9250998150        1.0068972224
  20.9741949980        1.0068673128
  21.0232901809        1.0064884665
  21.0723853639        1.0058797867
  21.1214805468        1.0052014194
  21.1705757298        1.0046111831
  21.2196709127        1.0042195323
  21.2687660957        1.0040542549
  21.3178612786        1.0040445326
  21.3669564616        1.0040298602
  21.4160516445        1.0037936765
  21.4651468275        1.0031156383
  21.5142420104        1.0018316082
  21.5633371934        0.9998877851
  21.6124323763        0.9973756913
  21.6615275593        0.9945380304
  21.7106227422        0.9917411716
  21.7597179252        0.9894170676
  21.8088131082        0.9879842946
  21.8579082911        0.9877631331
  21.9070034741        0.9889019615
  21.9560986570        0.9913310833
  22.0051938400        0.9947555086
  22.0542890229        0.9986909784
  22.1033842059        1.0025390172
  22.1524793888        1.0056887366
  22.2015745718        1.0076271455
  22.2506697547        1.0080371447
  22.2997649377        1.0068638396
  22.3488601206        1.0043351303
  22.3979553036        1.0009308138
  22.4470504865        0.9973040822
  22.4961456695        0.9941684904
  22.5452408524        0.9921703673
  22.5943360354        0.9917698851
  22.6434312183        0.9931528789
  22.6925264013        0.9961901829
  22.7416215842        1.0004526862
  22.7907167672        1.0052801196
  22.8398119501        1.0098916923
  22.8889071331        1.0135189769
  22.9380023160        1.0155373636
  22.9870974990        1.0155727065
  23.0361926819        1.0135644126
  23.0852878649        1.0097742489
  23.1343830478        1.0047400416
  23.1834782308        0.9991833359
  23.2325734137        0.9938881293
  23.2816685967        0.9895725378
  23.3307637796        0.9867758911
  23.3798589626        0.9857802801
  23.4289541456        0.9865787560
  23.4780493285        0.9888935909
  23.5271445115        0.9922389449
  23.5762396944        0.9960146439
  23.6253348774        0.9996129096
  23.6744300603        1.0025185794
  23.7235252433        1.0043856834
  23.7726204262        1.0050785839
  23.8217156092        1.0046730791
  23.8708107921        1.0034204662
  23.9199059751        1.0016841071
  23.9690011580        0.9998623637
  24.0180963410        0.9983131940
  24.0671915239        0.9972941532
  24.1162867069        0.9969275063
  24.1653818898        0.9971945939
  24.2144770728        0.9979576697
  24.2635722557        0.9990023274
  24.3126674387        1.0000902702
  24.3617626216        1.0010110927
  24.4108578046        1.0016229498
  24.4599529875        1.0018750884
  24.5090481705        1.0018094263
  24.5581433534        1.0015427702
  24.6072385364        1.0012349669
  24.6563337193        1.0010506049
  24.7054289023        1.0011224816
  24.7545240852        1.0015239529
  24.8036192682        1.0022548685
  24.8527144511        1.0032426754
  24.9018096341        1.0043571458
  24.9509048170        1.0054346893
