# Faber-Ziman Sij(q)             [Ge,Ge]                   
       23.7724455589           0.9859732051   
       23.8215477366           0.9870246826   
       23.8706499142           0.9888834690   
       23.9197520918           0.9911216253   
       23.9688542695           0.9933265453   
       24.0179564471           0.9951714351   
       24.0670586248           0.9964628498   
       24.1161608024           0.9971578280   
       24.1652629801           0.9973496714   
       24.2143651577           0.9972278203   
       24.2634673353           0.9970222648   
       24.3125695130           0.9969454974   
       24.3616716906           0.9971447189   
       24.4107738683           0.9976740012   
       24.4598760459           0.9984911428   
       24.5089782236           0.9994781625   
       24.5580804012           1.0004790507   
       24.6071825789           1.0013447093   
       24.6562847565           1.0019737279   
       24.7053869341           1.0023389959   
       24.7544891118           1.0024937864   
       24.8035912894           1.0025559974   
       24.8526934671           1.0026745351   
       24.9017956447           1.0029861614   
       24.9508978224           1.0035735083   
